127.0.0.1 - - [25/Jun/2016:11:39:46 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:29 +0800] "GET /SalonManagement/css/mystyle.css HTTP/1.1" 200 3394
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:29 +0800] "GET /SalonManagement/css/drag.css HTTP/1.1" 200 36435
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:29 +0800] "GET /SalonManagement/js/jquery-2.1.1.min.js HTTP/1.1" 200 84247
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:29 +0800] "GET /SalonManagement/js/drag.js HTTP/1.1" 200 487212
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:29 +0800] "GET /SalonManagement/img/logo.png HTTP/1.1" 200 51603
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:29 +0800] "GET /SalonManagement/js/materialize.min.js HTTP/1.1" 200 130570
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:29 +0800] "GET /SalonManagement/font/roboto/Roboto-Regular.woff2 HTTP/1.1" 200 49236
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:29 +0800] "GET /SalonManagement/font/roboto/Roboto-Bold.woff2 HTTP/1.1" 200 49976
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:29 +0800] "GET /SalonManagement/css/images/ui-bg_flat_75_ffffff_40x100.png HTTP/1.1" 404 1067
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:29 +0800] "GET /SalonManagement/css/MaterialIcons-Regular.woff2 HTTP/1.1" 200 42284
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:29 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:29 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:31 +0800] "GET /SalonManagement/admin-home.jsp HTTP/1.1" 200 17997
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:32 +0800] "GET /SalonManagement/css/images/ui-bg_flat_75_ffffff_40x100.png HTTP/1.1" 404 1067
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:56 +0800] "GET /SalonManagement/employeeMaintenance HTTP/1.1" 200 25446
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:56 +0800] "GET /SalonManagement/css/mtnc-emp.css HTTP/1.1" 200 2056
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:56 +0800] "GET /SalonManagement/css/bartstable.css HTTP/1.1" 200 2356
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:56 +0800] "GET /SalonManagement/js/angular.min.js HTTP/1.1" 200 126160
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:56 +0800] "GET /SalonManagement/css/material.min.css HTTP/1.1" 200 135667
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:56 +0800] "GET /SalonManagement/js/materialize.js HTTP/1.1" 200 285444
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:56 +0800] "GET /SalonManagement/js/picker.date.js HTTP/1.1" 200 49512
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:56 +0800] "GET /SalonManagement/js/jquery.validate.js HTTP/1.1" 200 22691
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:56 +0800] "GET /SalonManagement/js/bartstable.js HTTP/1.1" 200 2107
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:56 +0800] "GET /SalonManagement/js/jquery.dataTables.min.js HTTP/1.1" 200 82654
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:56 +0800] "GET /SalonManagement/js/validation.js HTTP/1.1" 200 38908
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:56 +0800] "GET /SalonManagement/img/anon.jpg HTTP/1.1" 200 16653
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:56 +0800] "GET /SalonManagement/js/maintenance-emp.js HTTP/1.1" 200 27816
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:40:58 +0800] "GET /SalonManagement/font/roboto/Roboto-Medium.woff2 HTTP/1.1" 200 50224
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:41:10 +0800] "GET /SalonManagement/css/materialize.min.css HTTP/1.1" 200 148889
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:41:10 +0800] "GET /SalonManagement/css/mtnc-catalogue.css HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:41:10 +0800] "GET /SalonManagement/transactions-inventory.jsp HTTP/1.1" 200 16368
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:43:40 +0800] "GET /SalonManagement/transactions-reservation.jsp HTTP/1.1" 200 64580
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:46:31 +0800] "GET /SalonManagement/css/materialize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:46:31 +0800] "GET /SalonManagement/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:46:31 +0800] "GET /SalonManagement/productServiceMaintenance HTTP/1.1" 200 24526
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:46:31 +0800] "GET /SalonManagement/css/mtnc-emp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:46:31 +0800] "GET /SalonManagement/css/bartstable.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:46:31 +0800] "GET /SalonManagement/css/material.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:46:32 +0800] "GET /SalonManagement/img/packIcon.png HTTP/1.1" 200 25523
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:46:32 +0800] "GET /SalonManagement/js/priceformat.js HTTP/1.1" 200 7936
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:46:32 +0800] "GET /SalonManagement/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:46:32 +0800] "GET /SalonManagement/js/bartstable.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:46:32 +0800] "GET /SalonManagement/js/jquery-2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:46:32 +0800] "GET /SalonManagement/js/materialize.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:46:32 +0800] "GET /SalonManagement/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:46:32 +0800] "GET /SalonManagement/js/maintenance-emp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:46:32 +0800] "GET /SalonManagement/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:46:32 +0800] "GET /SalonManagement/js/jquery.validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:46:32 +0800] "GET /SalonManagement/js/validation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:51:10 +0800] "GET /SalonManagement/productServiceMaintenance HTTP/1.1" 200 24526
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:51:10 +0800] "GET /SalonManagement/css/materialize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:51:10 +0800] "GET /SalonManagement/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:51:10 +0800] "GET /SalonManagement/css/mtnc-emp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:51:10 +0800] "GET /SalonManagement/css/bartstable.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:51:10 +0800] "GET /SalonManagement/css/material.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:51:10 +0800] "GET /SalonManagement/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:51:10 +0800] "GET /SalonManagement/js/materialize.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:51:10 +0800] "GET /SalonManagement/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:51:10 +0800] "GET /SalonManagement/js/bartstable.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:51:10 +0800] "GET /SalonManagement/js/maintenance-emp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:51:10 +0800] "GET /SalonManagement/js/jquery-2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:51:10 +0800] "GET /SalonManagement/js/priceformat.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:51:10 +0800] "GET /SalonManagement/js/jquery.validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:51:10 +0800] "GET /SalonManagement/js/validation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:51:11 +0800] "GET /SalonManagement/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:51:11 +0800] "GET /SalonManagement/img/packIcon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:52:06 +0800] "GET /SalonManagement/productServiceMaintenance HTTP/1.1" 200 15335
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:53:33 +0800] "GET /SalonManagement/productServiceMaintenance HTTP/1.1" 200 15395
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:55:42 +0800] "GET /SalonManagement/productServiceMaintenance HTTP/1.1" 200 15395
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:56:33 +0800] "GET /SalonManagement/productServiceMaintenance HTTP/1.1" 200 24526
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:56:33 +0800] "GET /SalonManagement/css/materialize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:56:33 +0800] "GET /SalonManagement/js/materialize.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:56:33 +0800] "GET /SalonManagement/js/jquery-2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:56:33 +0800] "GET /SalonManagement/css/material.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:56:33 +0800] "GET /SalonManagement/css/bartstable.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:56:33 +0800] "GET /SalonManagement/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:56:33 +0800] "GET /SalonManagement/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:56:33 +0800] "GET /SalonManagement/js/maintenance-emp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:56:33 +0800] "GET /SalonManagement/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:56:33 +0800] "GET /SalonManagement/js/bartstable.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:56:33 +0800] "GET /SalonManagement/css/mtnc-emp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:56:33 +0800] "GET /SalonManagement/js/priceformat.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:56:33 +0800] "GET /SalonManagement/js/jquery.validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:56:33 +0800] "GET /SalonManagement/js/validation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:56:34 +0800] "GET /SalonManagement/img/packIcon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:56:34 +0800] "GET /SalonManagement/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:57:43 +0800] "GET /SalonManagement/productServiceMaintenance HTTP/1.1" 200 24526
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:57:43 +0800] "GET /SalonManagement/css/materialize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:57:43 +0800] "GET /SalonManagement/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:57:43 +0800] "GET /SalonManagement/js/jquery-2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:57:43 +0800] "GET /SalonManagement/css/mtnc-emp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:57:43 +0800] "GET /SalonManagement/js/maintenance-emp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:57:43 +0800] "GET /SalonManagement/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:57:43 +0800] "GET /SalonManagement/js/materialize.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:57:43 +0800] "GET /SalonManagement/css/material.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:57:43 +0800] "GET /SalonManagement/css/bartstable.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:57:43 +0800] "GET /SalonManagement/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:57:43 +0800] "GET /SalonManagement/img/packIcon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:57:43 +0800] "GET /SalonManagement/js/validation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:57:43 +0800] "GET /SalonManagement/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:57:43 +0800] "GET /SalonManagement/js/bartstable.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:57:43 +0800] "GET /SalonManagement/js/priceformat.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:11:57:43 +0800] "GET /SalonManagement/js/jquery.validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:12:00:27 +0800] "GET /SalonManagement/productServiceMaintenance HTTP/1.1" 200 25390
0:0:0:0:0:0:0:1 - - [25/Jun/2016:12:00:28 +0800] "GET /SalonManagement/css/materialize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:12:00:28 +0800] "GET /SalonManagement/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:12:00:28 +0800] "GET /SalonManagement/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:12:00:28 +0800] "GET /SalonManagement/js/materialize.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:12:00:28 +0800] "GET /SalonManagement/js/jquery-2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:12:00:28 +0800] "GET /SalonManagement/css/material.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:12:00:28 +0800] "GET /SalonManagement/css/bartstable.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:12:00:28 +0800] "GET /SalonManagement/js/maintenance-emp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:12:00:28 +0800] "GET /SalonManagement/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:12:00:28 +0800] "GET /SalonManagement/js/bartstable.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:12:00:28 +0800] "GET /SalonManagement/css/mtnc-emp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:12:00:28 +0800] "GET /SalonManagement/js/jquery.validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:12:00:28 +0800] "GET /SalonManagement/js/validation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:12:00:28 +0800] "GET /SalonManagement/js/priceformat.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:12:00:28 +0800] "GET /SalonManagement/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:12:00:28 +0800] "GET /SalonManagement/img/packIcon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:12:01:19 +0800] "GET /SalonManagement/productServiceMaintenance HTTP/1.1" 200 25381
0:0:0:0:0:0:0:1 - - [25/Jun/2016:12:01:19 +0800] "GET /SalonManagement/css/materialize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:12:01:19 +0800] "GET /SalonManagement/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:12:01:19 +0800] "GET /SalonManagement/css/bartstable.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:12:01:19 +0800] "GET /SalonManagement/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:12:01:19 +0800] "GET /SalonManagement/js/materialize.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:12:01:19 +0800] "GET /SalonManagement/js/bartstable.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:12:01:19 +0800] "GET /SalonManagement/css/material.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:12:01:19 +0800] "GET /SalonManagement/js/jquery-2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:12:01:19 +0800] "GET /SalonManagement/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:12:01:19 +0800] "GET /SalonManagement/js/maintenance-emp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:12:01:19 +0800] "GET /SalonManagement/css/mtnc-emp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:12:01:19 +0800] "GET /SalonManagement/js/jquery.validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:12:01:19 +0800] "GET /SalonManagement/js/validation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:12:01:19 +0800] "GET /SalonManagement/js/priceformat.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:12:01:19 +0800] "GET /SalonManagement/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:12:01:19 +0800] "GET /SalonManagement/img/packIcon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:13:20:09 +0800] "GET /SalonManagement/transactions-inventory.jsp HTTP/1.1" 200 16368
0:0:0:0:0:0:0:1 - - [25/Jun/2016:13:20:11 +0800] "GET /SalonManagement/css/materialize.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:13:20:11 +0800] "GET /SalonManagement/css/mtnc-catalogue.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:13:20:11 +0800] "GET /SalonManagement/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:13:20:11 +0800] "GET /SalonManagement/css/materialize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:13:20:11 +0800] "GET /SalonManagement/css/bartstable.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:13:20:11 +0800] "GET /SalonManagement/css/material.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:13:20:12 +0800] "GET /SalonManagement/js/jquery-2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:13:20:12 +0800] "GET /SalonManagement/js/materialize.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:13:20:12 +0800] "GET /SalonManagement/js/maintenance-emp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:13:20:12 +0800] "GET /SalonManagement/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:13:20:12 +0800] "GET /SalonManagement/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:13:20:12 +0800] "GET /SalonManagement/js/bartstable.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:13:20:12 +0800] "GET /SalonManagement/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:13:33:54 +0800] "GET /SalonManagement/transactions-inventory.jsp HTTP/1.1" 200 16368
0:0:0:0:0:0:0:1 - - [25/Jun/2016:13:33:54 +0800] "GET /SalonManagement/css/materialize.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:13:33:54 +0800] "GET /SalonManagement/css/materialize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:13:33:54 +0800] "GET /SalonManagement/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:13:33:54 +0800] "GET /SalonManagement/css/mtnc-catalogue.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:13:33:54 +0800] "GET /SalonManagement/css/bartstable.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:13:33:54 +0800] "GET /SalonManagement/css/material.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:13:33:54 +0800] "GET /SalonManagement/js/jquery-2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:13:33:54 +0800] "GET /SalonManagement/js/materialize.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:13:33:54 +0800] "GET /SalonManagement/js/maintenance-emp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:13:33:54 +0800] "GET /SalonManagement/js/bartstable.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2016:13:33:54 +0800] "GET /SalonManagement/img/logo.png HTTP/1.1" 304 -
